id,key_signature,chord_progressions,pitch_min,pitch_max,num_measures,bpm,time_signature,sample_rhythm,min_velocity,max_velocity,instruments
BM_CR1_02103,B minor,"['E', 'F#', 'D.F#', 'D', 'C#', 'F#', 'F#', 'F#', 'D', 'D', 'A.D', 'A', 'G#.A', 'G#', 'G#', 'F#', 'F#', 'D', 'C#.D', 'C#', 'B.C#.D', 'B.D', 'C#', 'E', 'E.F#', 'F#', 'F#', 'B', 'B', 'B']",73,86,11,120.0,12/8,"[0.5, Fraction(1, 3), 0.75, 4.0, 0.25, 6.0, 6.0, Fraction(11, 3), Fraction(16, 3), 0.5, Fraction(1, 3), Fraction(1, 6), 5.75, 5.5, 0.25, Fraction(1, 3), 0.75, Fraction(1, 3), 1.0, 2.25, 4.75, 1.25, 6.0, 3.5]",70,70,[]
BP_CR2_00802,G minor,"['D', 'G', 'D', 'G', 'B-', 'G.B-', 'G', 'G', 'F', 'D', 'G', 'B-', 'B-', 'G', 'G', 'B-', 'B-', 'C', 'C', 'B-', 'G', 'G', 'F', 'D', 'B-', 'B-', 'C', 'B-.C', 'B-', 'G', 'D', 'G', 'G']",62,72,7,120.0,6/8,"[0.5, 0.25, Fraction(1, 3), 0.75, Fraction(1, 3), 0.25, 0.5, 0.25, 0.5, 0.75, Fraction(1, 3), Fraction(1, 3), 0.75, 0.5, Fraction(1, 3), Fraction(1, 3), 0.25, 0.75, 0.5, 0.75, 0.75, 0.5, 1.5, 0.25, Fraction(1, 3), 0.75, 0.25, 0.75, 0.25, 0.25, 0.25]",49,78,['Steinway Grand Piano']
BP_CR2_01298,G major,"['B', 'B', 'D', 'B-', 'B', 'B']",71,83,4,120.0,4/4,"[4.0, 0.25, 3.25, Fraction(4, 3), Fraction(8, 3), Fraction(10, 3)]",70,70,[]
BP_CR1_02708,B- minor,"['C#', 'F', 'F', 'G#', 'C', 'C', 'C.F', 'F', 'G#', 'G#', 'E-.B-', 'C', 'C#', 'C#', 'C', 'B-', 'G#', 'G', 'F', 'F', 'E-', 'C#.E-', 'C#', 'C', 'B-']",58,73,7,120.0,3/4,"[1.75, 1.25, 0.5, 1.75, 0.75, Fraction(11, 12), 1.75, 0.5, 1.25, Fraction(5, 3), 1.75, 1.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, Fraction(2, 3), 0.5, 0.5, 0.25]",58,58,['Steinway Grand Piano']
BP_CR1_02705,C# major,"['C#', 'C#', 'E-', 'E-', 'E-.F', 'F', 'F', 'C', 'G#', 'G#', 'G#', 'C#', 'C#', 'E-', 'E-', 'E-.F', 'F', 'F', 'F', 'F']",56,65,11,120.0,4/4,"[4.0, 1.25, 2.75, 2.5, 1.75, 0.5, 1.25, 2.25, 4.0, 0.5, 3.5, 1.75, 2.25, 3.0, 1.25, 4.0, 4.0, 1.0]",56,56,['Steinway Grand Piano']
BP_CR2_01179,A minor,"['A', 'A', 'A.E', 'E', 'C', 'A', 'A', 'C', 'B.C', 'B']",45,72,3,120.0,4/4,"[3.0, 0.25, Fraction(2, 3), 1.0, 2.75, 0.25, 0.25, 2.5]",103,127,['Steinway Grand Piano']
BP_CR2_01661,B- minor,"['F', 'E-', 'B-.E-', 'B-', 'F', 'E-', 'B-', 'F', 'E-', 'B-', 'B-.F', 'F', 'E-', 'B-', 'F', 'E-', 'B-.E-', 'B-', 'F', 'E-.F', 'E-', 'B-', 'B-.F', 'F', 'E-', 'B-', 'F', 'E-', 'B-.E-', 'B-', 'F', 'E-', 'B-', 'F', 'E-.F', 'E-', 'B-', 'F', 'E-', 'B-.E-', 'B-', 'F', 'E-.F', 'E-', 'B-', 'F', 'E-.F', 'E-', 'B-', 'B-.F', 'F', 'E-', 'B-']",70,77,3,120.0,12/8,"[0.25, Fraction(1, 3), 0.5, Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), 0.25, Fraction(1, 3), 0.25, Fraction(1, 3), Fraction(1, 3), 0.5, Fraction(1, 3), 0.25, Fraction(1, 3), 0.5, Fraction(1, 3), 0.5, 0.25, Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), 0.25, 0.25, Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), 0.5, 0.25, Fraction(1, 3), 0.5, 0.5, Fraction(1, 3), 0.5, Fraction(1, 3), 0.5, 0.5, 0.5, Fraction(1, 3), 0.25, Fraction(1, 3)]",79,116,['Steinway Grand Piano']
BP_CR2_00705,G minor,"['E', 'C', 'G#.B-', 'B-', 'D', 'D']",62,76,3,120.0,4/4,"[Fraction(1, 3), Fraction(10, 3), 0.25, 1.0, 2.75, 1.75]",54,109,['Classic Electric Piano']
BP_CR2_01302,E minor,"['B', 'D', 'E', 'F', 'B', 'B', 'D', 'E', 'E.F', 'F', 'B', 'B', 'D', 'E', 'E.F', 'F', 'B', 'B', 'D', 'E', 'E.F', 'F', 'B', 'D', 'E', 'E.F', 'F', 'B', 'B', 'D', 'E', 'F', 'B', 'B', 'D', 'E', 'E.F', 'F', 'A', 'A', 'G.A', 'G', 'G', 'G']",76,86,10,120.0,4/4,"[1.0, 0.5, 0.5, 0.5, 0.5, 1.0, 0.5, Fraction(2, 3), Fraction(1, 3), Fraction(1, 3), 1.0, 0.5, 0.5, 0.25, 0.5, 0.75, Fraction(1, 3), 0.5, 0.75, 1.0, 0.5, 0.5, 0.25, 0.5, 0.75, 0.25, 0.5, 0.25, 0.5, 1.0, 0.5, Fraction(2, 3), 0.5, 0.25, Fraction(17, 12), Fraction(8, 3), 4.0, Fraction(1, 12)]",70,70,[]
BP_CR1_02911,G minor,"['C', 'C', 'A', 'A', 'A', 'B-', 'B-', 'B-', 'B-', 'G', 'G']",55,60,8,120.0,6/8,"[3.0, Fraction(7, 3), Fraction(2, 3), 3.0, Fraction(5, 3), 1.25, 3.0, 3.0, 1.75, 1.25, 0.75]",61,79,['Classic Electric Piano']
